subject Activities V1 V2 V3 V4 V39 V40 V41 V42 V43 V44 V79 V80 V81 V82 V83 V84 V119 V120 V121 V122 V123 V124 V159 V160 V161 V162 V163 V164 V199 V200 V212 V213 V225 V226 V238 V239 V251 V252 V264 V265 V266 V267 V268 V269 V343 V344 V345 V346 V347 V348 V422 V423 V424 V425 V426 V427 V501 V502 V514 V515 V527 V528 V540 V541
1 WALKING 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.283740258842105 -0.191228477152632 0.380201211578947 0.935223201473684 -0.282165021263158 -0.068102864 -0.976609642526316 -0.0400833257557895 0.281260329237895 0.0740416333157895 0.0282721095884211 -0.00416840617789474 -0.113615602435789 -0.362106180705263 0.490554924315789 -0.041830963526 -0.0695300462115789 0.0849448173042105 -0.473535485894737 -0.0630329306810526 0.107702366137895 -0.0899975423705263 -0.0398428709463158 -0.0461309295021053 -0.207421854757895 -0.334593851089474 -0.0715513643377895 0.0885682061405263 0.0817513038861053 0.0885682061405263 0.0817513038861053 -0.224934141304316 0.204177664192316 0.165740730368421 -0.18978924212 -0.116305623129053 -0.187471542774737 -0.202794306326316 0.0897127264021053 -0.331560117789474 -0.319134719578947 -0.724782321052632 -0.917626535263158 -0.170546964549579 -0.0352255241130632 -0.468999224631579 -0.133586606326316 -0.814140595578947 -0.922591224526316 -0.339032197115789 -0.103059416434737 -0.255940940315789 -0.516691938736842 -0.78983286 -0.919419408 -0.549076696421053 -0.835079617894737 -0.104419399496947 -0.47802531782 -0.246856514532632 -0.540829011921053
1 WALKING_UPSTAIRS 0.255461689622641 -0.0239531492643396 -0.0973020020943396 -0.35470802509434 -0.17700807654717 0.161628109571698 0.89335109754717 -0.362153364339623 -0.075402939754717 -0.956367027924528 -0.37282872745283 -0.178003749358491 0.101372729922642 0.0194863076188679 -0.0455625449113208 -0.446843887735849 -0.169377561701887 0.312909699716981 0.050549379754717 -0.166170015088679 0.0583595463981132 -0.544871104528302 -0.364162675924528 0.00374637040566038 -0.122232768011321 -0.0421485884509434 -0.0407125527654717 -0.614786508490566 -0.301908590471698 -0.240762604709434 -0.137359747679245 0.0963139010660377 -0.137359747679245 0.0963139010660377 -0.316997064283019 0.022801332645283 -0.0491976799056604 -0.0977466063226415 -0.140911848889623 -0.163564322 -0.404321784150943 -0.190976720811321 -0.433349702075472 -0.337428188679245 -0.502506878113208 -0.979627190566038 -0.479875245660377 -0.41344458754717 -0.685474353962264 -0.461907025849057 -0.922755616226415 -0.980786464528302 -0.492611667924528 -0.319474609056604 -0.453597213018868 -0.565892490754717 -0.874785848301887 -0.971169189433962 -0.285599666826415 -0.596216743962264 -0.363579661132075 -0.686853361509434 -0.160914224732075 -0.496216834792453
1 WALKING_DOWNSTAIRS 0.289188320408163 -0.00991850461020408 -0.107566190908163 0.0300353383483878 -0.225544974216327 0.0756845059489796 0.931874418979592 -0.266610338979592 -0.0621199585938775 -0.950559811632653 -0.297445343530612 0.10130462455102 0.0541553164897959 0.0296504490408163 -0.0109719730183673 -0.012283860544898 -0.357838717367347 0.116034018020408 -0.0350781902989796 -0.0909371290204082 0.0900850142030612 -0.458030542938775 -0.191032660469388 -0.280042328004082 -0.0739592036271429 -0.0439902783367347 -0.0270461061061224 -0.487027342244898 -0.24153299954898 -0.251421070963265 0.13907453125102 -0.153300444921224 0.13907453125102 -0.153300444921224 -0.0168914737530612 0.110971354244898 0.423461960877551 -0.295883797938776 -0.0579983788428571 0.0572668301693878 0.0382291831510204 0.00154990783591837 -0.225574471693878 0.0243308391387755 -0.718418354489796 -0.810377550816327 -0.0276638676122449 -0.12866715764898 -0.288334735714286 -0.0863278966402041 -0.727280115306122 -0.821647169183673 -0.352449631363265 -0.0557022524693878 -0.0318694271979592 -0.495422486102041 -0.621849786122449 -0.88399402755102 -0.45682867022449 -0.739122186938776 -0.196565005959184 -0.539384710693878 -0.493999491571429 -0.771541462040816
1 SITTING 0.261237565425532 -0.00130828765170213 -0.104544182255319 -0.977229008297872 -0.201194422908511 0.118261863640426 0.831509933404255 0.204411592680851 0.332043702765957 -0.968457145744681 -0.497453950340426 0.301419345319149 0.0774825199574468 -0.000619102785106384 -0.00336779235021277 -0.986430711276596 0.159929065085106 0.0165644228659574 -0.045350056512766 -0.0919241549361702 0.0629313811914894 -0.977211283191489 0.152511136276596 -0.233370428585106 -0.0936793807234043 -0.0402118124255319 -0.046702627 -0.99173159212766 0.11770854623617 0.00284798482340426 0.153241019 -0.17159434653617 0.153241019 -0.17159434653617 -0.030831794193617 -0.0603137314042553 0.166649813768085 -0.112973317920638 -0.00118220895957447 -0.00177420970212766 -0.979641238723404 -0.944084550425532 -0.959184889148936 -0.976412313191489 -0.987879390851064 -0.999175948085106 -0.986597022553191 -0.981579467021277 -0.986053092340425 -0.987492994468085 -0.999344061914894 -0.999747370212766 -0.976161464042553 -0.975838585319149 -0.951315544468085 -0.977904227021277 -0.992958364042553 -0.999588120638298 -0.373911049468085 -0.608126705914894 -0.480942150808511 -0.750599066382979 -0.00775797617659574 -0.284454150412766
1 STANDING 0.278917629056604 -0.0161375901037736 -0.110601817735849 -0.995759901509434 -0.00543277440754717 0.288310475754717 0.942952000377358 -0.272983832264151 0.0134905823226415 -0.99376298509434 0.13784962990566 0.46985826 0.0753766542264151 0.00797573092830189 -0.00368524954709434 -0.994604542264151 0.156032601584906 0.0744326620490566 -0.0239877347979245 -0.0593972209811321 0.074800751 -0.987191946603774 -0.00512713848867925 -0.459897160490566 -0.0996092129056604 -0.0440627877924528 -0.0489505466716981 -0.992945106981132 -0.0374820999679245 -0.228165476283019 0.240349537995094 -0.248142022347925 0.240349537995094 -0.248142022347925 -0.0549539895716981 -0.128163099171698 0.163825722239623 -0.0367286360754717 0.00219194961320755 -0.285777842592453 -0.995249932641509 -0.977070847735849 -0.985297098679245 -0.99602834509434 -0.999093109056604 -0.99981734245283 -0.994630797358491 -0.985418704528302 -0.990752166037736 -0.995073759245283 -0.999832889056604 -0.99984008 -0.986386786037736 -0.988984455849057 -0.980773122830189 -0.987497128679245 -0.999455610566038 -0.999895938301887 -0.47394336890566 -0.713903327169811 -0.568218011226415 -0.832748299811321 -0.201169444064151 -0.514425437716981
1 LAYING 0.22159824394 -0.0405139534294 -0.11320355358 -0.9280564692 -0.0093252039692 -0.023365945138 -0.24888179828 0.70554977346 0.4458177198 -0.8968300184 -0.07809749428 -0.20911768088 0.0810865342 0.0038382040088 0.010834236361 -0.958482112 0.146174602854 -0.022012200614 -0.016553093978 -0.064486124088 0.14868943626 -0.87354386782 0.252542752996 0.04403706094 -0.107270949192 -0.04151728689 -0.0740501211 -0.9186085208 -0.038780932678 -0.094974300494 0.03519635202 -0.02424774582 0.03519635202 -0.02424774582 -0.111611025988 -0.0789909273 -0.009417440526 0.086408548754 -0.039707980292 -0.111077069856 -0.9390990524 -0.86706520518 -0.8826668762 -0.9244374346 -0.9415331212 -0.9964246012 -0.9570738838 -0.9224626098 -0.9480609042 -0.9641607086 -0.9922768486 -0.99717988 -0.850249174586 -0.9521914948 -0.909302721 -0.8822964508 -0.9864204228 -0.9979328882 -0.2662462532 -0.508329046806 -0.389207745822 -0.6737157919 -0.0843388238 -0.391530370084
2 WALKING 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.423642838474576 -0.0251069135101695 0.368582476440678 0.91301733338983 -0.34660709 0.0847270871186441 -0.972693201355932 -0.241298144779661 -0.0658090309491525 0.0618080696279661 0.0182492679288136 0.00789533706610169 -0.277530462620339 0.0624083924322034 0.224548708762712 -0.0530258157347458 -0.0482382316949153 0.0828336633220339 -0.561550255762712 0.105900774240678 -0.0801253883711864 -0.0818833429152542 -0.0538299449067797 -0.0514939156830508 -0.389549831525424 0.0648991809491525 -0.233432734305085 -0.112274999164407 0.176396531827119 -0.112274999164407 0.176396531827119 -0.485743906118644 0.376830517220339 0.0428938015644068 -0.0111708590067797 -0.247231198601695 0.23773453523678 -0.346048161016949 -0.0219048103322034 -0.453806369830508 -0.457651383728814 -0.831927511355932 -0.950590559152542 -0.304615322881356 -0.0787640836610169 -0.554956709661017 -0.31431306340678 -0.861085185423729 -0.953383621355932 -0.429713536101695 -0.55477211220339 -0.396659907457627 -0.604053019152542 -0.873070090508475 -0.894181102542373 -0.497408531355932 -0.764651062881356 -0.00254912604067796 -0.368754340508475 -0.571976081694915 -0.816468687627119
2 WALKING_UPSTAIRS 0.247164790395833 -0.0214121132045833 -0.152513899520833 -0.304376406458333 -0.411630790895833 0.18153981034375 0.790717418541667 -0.416214890416667 -0.195888238891667 -0.934407739791667 0.203143954291667 -0.169191851458333 0.0744507839572917 -0.00970985514333333 0.01948143925 -0.276121886479167 -0.138556992870208 0.307773663458333 -0.0576912634583333 -0.0320883097395833 0.0688374021666667 -0.439253058958333 0.1841551464375 0.440031015833333 -0.0828858001333333 -0.0424053708458333 -0.0445157481625 -0.464854363125 0.1574097324375 -0.288635938541667 0.0751369210020833 -0.0506586726450208 0.0751369210020833 -0.0506586726450208 -0.2050595805 0.2086261309375 0.319991629791667 -0.1963162895 0.1407928295875 -0.00629092502708333 -0.266720933270833 0.00992445881854167 -0.281001986202083 -0.320582414375 -0.580208938333333 -0.94891047875 -0.258639439729167 -0.1878421317125 -0.522728063333333 -0.365415441458333 -0.845151461875 -0.951688811041667 -0.331643577458333 -0.488086123958333 -0.248601122 -0.476358845625 -0.628462754229167 -0.88588693625 -0.46785115375 -0.757133489583333 -0.223830448503333 -0.581564435208333 -0.292661082145833 -0.6244172480625
2 WALKING_DOWNSTAIRS 0.27761534806383 -0.0226614158361702 -0.116812942382979 0.0463666814446808 -0.247933472419149 0.162723854808511 0.861831345531915 -0.325780100638298 -0.0438890162723404 -0.940361759574468 0.0255011033191489 0.0451822640425532 0.110040615569574 -0.00327959081489362 -0.0209351677765957 0.147249143238298 -0.0715963052904255 0.132899850775532 -0.11594735287234 -0.00482329231914894 0.097173808906383 -0.320789230008511 0.230421193882979 -0.107181265489362 -0.0581038498510638 -0.0421470257531915 -0.0710229816893617 -0.243940592553192 0.212135428978723 -0.18857590863617 0.0790410821085106 0.0543209986234043 0.0790410821085106 0.0543209986234043 0.00565053229978724 -0.027361318012766 0.187380402638298 -0.0196318243617021 0.137943311302128 0.0799973712212766 0.112841160325532 0.278345041765957 -0.131290772 0.0161046198595745 -0.581770836382979 -0.869565525744681 0.138120681087234 0.0962091607617021 -0.271498721106383 0.0499590624829787 -0.666880558297872 -0.869575452340426 -0.145775970406383 -0.361913824 -0.0874944736085106 -0.379436674361702 -0.759261478297872 -0.760670548723404 -0.447801660425532 -0.745526107021277 0.0750976283351064 -0.254774915422979 -0.290077728731915 -0.614250749212766
2 SITTING 0.27708735173913 -0.0156879937282609 -0.109218272456522 -0.986822279565217 -0.268153719565217 0.256453039862826 0.940477273043478 -0.105630024498783 0.19872676876087 -0.979988760869565 -0.486664063652174 0.538687011956522 0.0722564387173913 0.0116954511323913 0.00760546929869565 -0.988055854130435 0.0380489234586957 0.0525305806521739 -0.0454706620434783 -0.0599286797043478 0.0412277462173913 -0.985742027826087 0.182080612630435 -0.505954266021739 -0.0936328412826087 -0.0415602029130435 -0.04358509665 -0.989709023043478 0.192636236913043 -0.253133782695652 0.165177400471739 -0.1117612925 0.165177400471739 -0.1117612925 -0.0316423665565217 -0.0502937812608696 0.0884338520847826 -0.0465395786717391 -0.0574888258152174 -0.184917620573913 -0.985803840652174 -0.957343498478261 -0.970162172608696 -0.98736209 -0.995906652608696 -0.999430545217391 -0.987848793695652 -0.977139702826087 -0.985129050217391 -0.989459107391304 -0.999687611304348 -0.999700042608696 -0.982621389565217 -0.982100923695652 -0.959814822391304 -0.986808501521739 -0.998201445217391 -0.99960263673913 -0.332265960427174 -0.612535121326087 -0.568363489347826 -0.837046969130435 -0.1330686249 -0.444892836913043
